ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10284,AAS,1010,100,Lecture,"4","","","","Introduction to African-American and African Studies I","",Closed,120,120,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10287,AAS,1010,101,Discussion,"0","","","","Introduction to African-American and African Studies I","",Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10288,AAS,1010,102,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,21,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10285,AAS,1010,103,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10286,AAS,1010,104,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10289,AAS,1010,105,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10290,AAS,1010,106,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
19360,AAS,1559,001,Seminar,"3","","","","New Course in African and African American Studies","Routes, Writing, Reggae",Open,31,36,0,"New course in the subject of African American Studies."
19361,AAS,2224,001,Seminar,"3","","","","Black Femininities and Masculinities in the US Media","",Closed,17,17,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
19362,AAS,2559,001,Seminar,"3","","","","New Course in African and African American Studies","The Films of Spike Lee",Closed,76,75,0,"New course in the subject of African and African American Studies"
20186,AAS,2559,002,Seminar,"3","","","","New Course in African and African American Studies","Sensing Africa",Closed,10,10,0,"New course in the subject of African and African American Studies"
20313,AAS,3200,001,Seminar,"3","","","","Martin, Malcolm and America","",Closed,13,10,0,"An intensive examination of African-American social criticism centered upon, but not limited to, the life and thought of Martin Luther King, Jr. and Malcolm X.  We will come to grips with the American legacy of racial hatred and oppression systematized in the institutions of antebellum chattel slavery and post-bellum racial segregation and analyze the array of critical responses to, and social struggles against, this legacy."
19366,AAS,3500,001,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","Musical Fictions",Open,13,15,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19367,AAS,3500,002,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","Race and Real Estate",Closed,16,15,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
20115,AAS,3500,003,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","James Baldwin",Closed,7,7,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
20850,AAS,3500,004,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","SS PerspAf-Amer&AfricanStudies",Open,16,20,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19368,AAS,3749,001,Seminar,"3","","","","Food and Meaning in Africa and the Diaspora","",Closed,19,18,0,"This course investigates the traditions and symbolics of food and eating in Africa and throughout the African Diaspora -- wherever people of African descent have migrated or have been forced to move. This course will help students to investigate the way the foods people eat' or don't eat' hold meaning for people within a variety of cultural contexts.Topics will include symbol, taboo, sexuality, bodies, ritual, kinship & beauty, among others."
13010,AAS,4070,001,Lecture,"3","","","","Directed Reading and Research","",Open,1,10,0,"Students in the Distinguished Majors Program should enroll in this course for their first semester of  thesis research."
19370,AAS,4570,001,Seminar,"3","","","","Advanced Research Seminar in African-American & African Studies","Black Women and Work",Open,10,12,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
12865,AAS,4993,001,Independent Study,"1 - 12","","","","Independent Study","",Closed,5,2,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
14781,AAS,4993,002,Independent Study,"1 - 12","","","","Independent Study","",Closed,2,2,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
15283,AAS,4993,003,Independent Study,"1 - 12","","","","Independent Study","",Open,0,2,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
15906,AAS,4993,004,Independent Study,"1 - 12","","","","Independent Study","",Open,3,5,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
15971,AAS,4993,005,Independent Study,"1 - 12","","","","Independent Study","",Open,0,5,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
21697,AAS,4993,006,Independent Study,"1 - 12","","","","Independent Study","",Open,1,2,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
