Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2011 January,ANTH,2590,Social & Cultural Anthropology,"Colby-Bottel,Sherrilynn",1,3.22,24,0,3,7,3,8,2,0,0,0,1
2011 January,ANTH,2890,Unearthing the Past,"Most,Rachel",1,3.53,22,0,5,9,2,5,1,0,0,0,0
2011 January,BIOL,3665,Tropical Ecol in Belize,"Smith,David E",501,3.86,18,1,10,6,1,0,0,0,0,0,0
2011 January,COMM,3845,Foundations Intl Business,"Wilkerson,William R",1,3.66,22,0,10,6,2,3,1,0,0,0,0
2011 January,COMM,4390,Market Insights in SE Asia,"Maxham III,James G",501,4.00,27,0,27,0,0,0,0,0,0,0,0
2011 January,COMM,4824,Sustainable Dev Practicum,"Brown,Robert",501,-,-,1,6,0,0,0,0,0,0,0,0
2011 January,DRAM,3320,The Fine Art of Dress 1,"West,Gweneth L",1,3.55,12,1,3,2,4,2,0,0,0,0,0
2011 January,EDIS,2910,Academic Realities and Skills,"Luedtke,Karlin Rae",1,-,-,0,5,3,0,1,0,0,0,0,0
2011 January,ENSP,1060,Public Speaking,"Gardiner,Margaret Elaine",1,3.77,18,0,8,8,1,1,0,0,0,0,0
2011 January,ENSP,3200,"Irish Lit., Music, and Art","Fowler,Elizabeth",501,3.53,18,0,3,8,3,4,0,0,0,0,0
2011 January,ENSP,3200,"Irish Lit., Music, and Art","Luftig,Victor",501,3.53,18,0,3,8,3,4,0,0,0,0,0
2011 January,EVSC,1050,"Ethics,Pro & Prac of Int'l Res",...,1,3.77,25,0,16,3,5,0,1,0,0,0,0
2011 January,EVSC,1050,"Ethics,Pro & Prac of Int'l Res","Swap,Robert John",1,3.77,25,0,16,3,5,0,1,0,0,0,0
2011 January,EVSC,3665,Tropical Ecol & Conserv/Belize,"Miller,Rachel Nottingham",501,-,-,0,3,2,1,0,0,0,0,0,0
2011 January,EVSC,3665,Tropical Ecol & Conserv/Belize,"Smith,David E",501,-,-,0,3,2,1,0,0,0,0,0,0
2011 January,EVSC,4559,New Course: EVSC,"Macko,Stephen A",1,3.93,20,4,11,5,0,0,0,0,0,0,0
2011 January,GETR,2770,Berlin in German Life & Letter,"Stewart,Gordon",501,3.72,18,0,7,9,0,1,1,0,0,0,0
2011 January,GNUR,6320,Immunocompetence in Vuln Pop,"Brashers,Valentina L",501,4.00,34,33,1,0,0,0,0,0,0,0,0
2011 January,GNUR,8650,Managing Information Tech,"Farrell,Sarah P",501,-,-,6,3,0,1,0,0,0,0,0,0
2011 January,HIEA,3141,Pol & Soc Thought Modern China,"Reed,Bradly W",1,3.48,26,0,7,4,10,4,1,0,0,0,0
2011 January,ITTR,3758,Love Affair with Tuscany,"Cesaretti,Enrico Francesco",501,3.65,20,0,11,7,0,0,0,0,1,0,1
2011 January,LAW,7600,Admiralty (SC),"Rutherglen,George",1,3.35,21,0,0,4,15,2,0,0,0,0,0
