ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10305,AAS,1010,100,Lecture,"4","","","","Introduction to African-American and African Studies I","",Closed,125,120,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10308,AAS,1010,101,Discussion,"4","","","","Introduction to African-American and African Studies I","",Closed,22,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10309,AAS,1010,102,Discussion,"4","","","","Introduction to African-American and African Studies I","",Closed,23,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10306,AAS,1010,103,Discussion,"4","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10307,AAS,1010,104,Discussion,"4","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10310,AAS,1010,105,Discussion,"4","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10311,AAS,1010,106,Discussion,"4","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
15551,AAS,2700,001,Lecture,"3","","","","Festivals of the Americas","",Open,42,50,1,"Communities throughout the Caribbean, and South, Central and North America celebrate festivals which are rooted in religious devotion, and which serve to mark sacred time and and to assert claims about religious, ethnic, and national identities. The class will read ethnographic accounts and listen to musical recordings of signature religious festivals--such as Saint Patrick's Day in Boston, Mardi Gras in New Orleans, and Carnival in Brazil."
20619,AAS,3000,001,Seminar,"3","","","","Women and Religion in Africa","",Closed,34,30,1,"This course examines women's religious activities, traditions and spirituality in a number of different African contexts.  Drawing on ethnographic, historical, literary, and religious studies scholarship, we will explore a variety of themes and debates that have emerged in the study of gender and religion in Africa.  Topics will include gendered images of sacred power; the construction of gender through ritual; sexuality and fertility; and women"
16528,AAS,3200,001,Seminar,"3","","","","Martin, Malcolm and America","",Open,19,20,1,"An intensive examination of African-American social criticism centered upon, but not limited to, the life and thought of Martin Luther King, Jr. and Malcolm X.  We will come to grips with the American legacy of racial hatred and oppression systematized in the institutions of antebellum chattel slavery and post-bellum racial segregation and analyze the array of critical responses to, and social struggles against, this legacy."
20072,AAS,3280,001,Lecture,"3","","","","Reading the Black College Campus","",Closed,7,21,0,"Historically Black Colleges and University campuses are records of the process of democratizing (extending to excluded social groups such as African-Americans) opportunities for higher education in America.  Through landscapes, we trace this record, unearthing the politics of landscapes via direct experience as well as via interpretations of representations of landscapes in literature, visual arts, maps, plans, and photographs."
12046,AAS,3500,001,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","Black Protest Narrative",Open,25,35,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
14365,AAS,3500,002,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","SS PerspAf-Amer&AfricanStudies",Open,6,20,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
16722,AAS,3500,003,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","Framing Civil Rights Movement",Open,15,30,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
20709,AAS,3500,004,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","African Worlds - Life Stories",Closed,26,25,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
21011,AAS,3500,005,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","History Civil Rights Movement",Open,32,60,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19871,AAS,3652,001,Seminar,"3","","","","African American History since 1865","",Closed,66,60,0,"This course surveys the major political, economic, and cultural developments in black America from the end of the Civil War to the present.  Through an engagement with various primary and secondary texts, and multimedia, students examine African Americans' endeavors to build strong families and communities, create socially meaningful art, and establish a political infrastructure capable of bringing into existence a more just and humane world."
20702,AAS,3749,001,Seminar,"3","","","","Food and Meaning in Africa and the Diaspora","",Closed,19,18,1,"This course investigates the traditions and symbolics of food and eating in Africa and throughout the African Diaspora -- wherever people of African descent have migrated or have been forced to move. This course will help students to investigate the way the foods people eat' or don't eat' hold meaning for people within a variety of cultural contexts.Topics will include symbol, taboo, sexuality, bodies, ritual, kinship & beauty, among others."
14427,AAS,4070,001,Lecture,"3","","","","Directed Reading and Research","",Open,1,10,0,"Students in the Distinguished Majors Program should enroll in this course for their first semester of  thesis research."
16723,AAS,4500,001,Seminar,"3","","","","Advanced Seminar in African-American and African Studies","Race, Space, Culture",Closed,12,18,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminatiing in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
12045,AAS,4570,001,Seminar,"3","","","","Advanced Research Seminar in African-American & African Studies","Womanhood&Politics of the Body",Open,4,10,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
16932,AAS,4993,001,Independent Study,"3","","","","Independent Study","",Open,1,5,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
14112,AAS,4993,002,Independent Study,"3","","","","Independent Study","",Open,3,5,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
21228,ACCT,2010,701,Lecture,"3","","","","Introductory Accounting","",Open,10,24,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
21229,ACCT,2020,701,Lecture,"3","","","","Introductory Accounting II","",Open,5,24,0,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized.  Prerequisite: ACCT 2010."
21237,ACCT,3110,501,Lecture,"3","","","","Intermediate Accounting I","",Open,4,24,0,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve.  Prerequisite: ACCT 2020."
21230,ACCT,3110,701,Lecture,"3","","","","Intermediate Accounting I","",Open,8,24,0,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve.  Prerequisite: ACCT 2020."
21231,ACCT,3120,701,Lecture,"3","","","","Intermediate Accounting II","",Open,14,24,0,"Continuation of ACCT 3110, emphasizing accounting for the equities of a firm's investors and creditors. Covers special problem areas in financial accounting including accounting for leases, pensions, and income taxes.  Prerequisite: ACCT 3110."
21232,ACCT,3140,701,Lecture,"3","","","","Cost Accounting","",Open,11,24,0,"Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance.  Prerequisite: ACCT 2020."
21378,ACCT,4450,701,Lecture,"3","","","","Federal Taxation I","",Open,7,24,0,"An analysis of the federal income tax law and its application to individuals. A study is made of problems covering personal and business tax situations. Several cases are assigned for which the student prepares illustrative tax returns.  Prerequisite: ACCT 2020 or instructor permission."
21233,ACCT,5210,701,Lecture,"3","","","","Introductory Auditing","",Open,12,24,0,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports.  Prerequisite: ACCT 3120."
21234,ACCT,5330,701,Lecture,"3","","","","Accounting for Non-Business Organizations","",Open,23,24,0,"Financial accounting for governmental and non-profit organizations. Studies the theory and techniques of accounting and reporting for various funds and groups of accounts.  Prerequisite: ACCT 3120."
21235,ACCT,5410,701,Lecture,"3","","","","Fraud Examination","",Closed,25,24,0,"Focuses on the principles and methodology of fraud detection and deterrence. Examines how and why occupational fraud is committed, how fraudulent conduct can be deterred, and how allegations of fraud should be investigated and resolved. Prerequisite: ACCT 3120 Intermediate Accounting II"
21236,ACCT,5460,701,Lecture,"3","","","","Federal Taxation II","",Open,7,24,0,"Analyzes of the federal income tax law and its application to corporations, shareholders, partnerships, partners, estates, and gift transactions.  Prerequisite: ACCT 4450."
19212,AIRS,100,001,Laboratory,"0","","","","Leadership Laboratory","",Open,62,219,0,"A mandatory laboratory in leadership and followership development for AFROTC cadets. As a complement to the air science classes, this laboratory focuses on applying leadership principles and understanding leaders' responsibilities while emphasizing the benefits of practical experience. (2 hrs.)Â   Prerequisite: Enrollment in Air Force ROTC."
20052,AIRS,100,002,Laboratory,"0","","","","Leadership Laboratory","",Open,1,30,0,"A mandatory laboratory in leadership and followership development for AFROTC cadets. As a complement to the air science classes, this laboratory focuses on applying leadership principles and understanding leaders' responsibilities while emphasizing the benefits of practical experience. (2 hrs.)Â   Prerequisite: Enrollment in Air Force ROTC."
19206,AIRS,1100,001,Lecture,"1","","","","The Foundations of the U.S. Air Force","",Open,17,50,0,"Introduces the United States Air Force and Air Force Reserve Officers' Training Corps. Topics include mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer career opportunities.  Corequisite: AIRS 100. (2 hrs)"
