ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
12633,AAS,2224,001,Seminar,"3","","","","Black Femininities and Masculinities in the US Media","",Closed,16,12,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
12706,AAS,2559,001,Seminar,"3","","","","New Course in African and African American Studies","Intro to African Religions",Open,13,18,0,"New course in the subject of African and African American Studies"
12710,AAS,3559,001,Seminar,"3","","","","New Course in African and African American Studies","Slavery & Emancipation in Film",Open,5,18,0,"New course in the subject of African and African American Studies."
12634,AAS,3749,001,Seminar,"3","","","","Food and Meaning in Africa and the Diaspora","",Open,9,18,0,"This course investigates the traditions and symbolics of food and eating in Africa and throughout the African Diaspora -- wherever people of African descent have migrated or have been forced to move. This course will help students to investigate the way the foods people eat' or don't eat' hold meaning for people within a variety of cultural contexts.Topics will include symbol, taboo, sexuality, bodies, ritual, kinship & beauty, among others."
12793,AAS,4993,003,Independent Study,"1 - 6","","","","Independent Study","",Open,2,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
12969,AAS,4993,004,Independent Study,"1 - 12","","","","Independent Study","",Open,2,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
12270,ACCT,3110,701,Lecture,"3","","","","Intermediate Accounting I","",Open,10,24,0,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve.  Prerequisite: ACCT 2020."
12305,ACCT,3140,701,Lecture,"3","","","","Cost Accounting","",Open,16,24,0,"Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance.  Prerequisite: ACCT 2020."
12307,ACCT,4450,701,Lecture,"3","","","","Federal Taxation I","",Open,5,24,0,"An analysis of the federal income tax law and its application to individuals. A study is made of problems covering personal and business tax situations. Several cases are assigned for which the student prepares illustrative tax returns.  Prerequisite: ACCT 2020 or instructor permission."
12306,ACCT,5210,701,Lecture,"3","","","","Introductory Auditing","",Open,8,24,0,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports.  Prerequisite: ACCT 3120."
12308,ACCT,5460,701,Lecture,"3","","","","Federal Taxation II","",Open,19,24,0,"Analyzes of the federal income tax law and its application to corporations, shareholders, partnerships, partners, estates, and gift transactions.  Prerequisite: ACCT 4450."
10002,ALAR,5010,001,Lecture,"1","","","","Introduction to Design","",Open,22,30,0,"The Summer Design Institute prepares graduate students admitted to the Master of Architecture and Master of Landscape Architecture Programs for rigorous professional study in these design disciplines.  Three courses comprise the full time course of study over a two month period during the University of Virginia's Summer Session.  Introduction to design concepts from the scale of the city to the body, developing an understanding of design process and compositional strategies in architecture and landscape architecture.  Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair."
10003,ALAR,5020,001,Lecture,"1","","","","Introduction to Design Graphics","",Open,22,30,0,"The Summer Design Institute prepares graduate students admitted to the Master of Architecture and Master of Landscape Architecture Programs for rigorous professional study in these design disciplines. Three courses comprise the full time course of study over a two month period during the University of Virginia's Summer Session. Introduction to both digital and manual representational techniques, developing the precision and facility necessary for visual communication.  Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair."
10004,ALAR,5030,001,Lecture,"1","","","","Introduction to Design Theory and Analysis","",Open,22,30,0,"The Summer Design Institute prepares graduate students admitted to the Master of Architecture and Master of Landscape Architecture Programs for rigorous professional study in these design disciplines. Three courses comprise the full time course of study over a two month period during the University of Virginia's Summer Session. Introduction to the analysis of the physical environment at the intersection of historical understanding and contemporary imagination.  Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair."
12714,ANTH,1010,502,Lecture,"3","","","","Introduction to Anthropology","",Closed,56,30,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
12263,ANTH,2345,001,Seminar,"3","","","","Anthropology of Reproduction: Fertility and the Future","",Open,7,20,0,"In this course, we will study human reproduction as a cultural process. Questions include how gender, class, race, and religion shape reproductive ideals and practices around the world.  Ethnographic examples will come from around the world, but will emphasize South Asia and the United States. This course examines the perspectives of both men and women and situates local examples within national and global struggles to (re)produce the future."
12712,ANTH,2500,003,Lecture,"3","","","","Cultures, Regions, and Civilizations","Middle East: Cultures  & Class",Open,8,20,0,"Intensive studies of particular world regions, societies, cultures, and civilizations."
12713,ANTH,2500,04,Lecture,"3","","","","Cultures, Regions, and Civilizations","South Asia: Religion & Nation",Open,7,20,0,"Intensive studies of particular world regions, societies, cultures, and civilizations."
12479,ANTH,2559,002,Lecture,"1 - 4","","","","New Course in Anthropology","Prehist and Hist of Pueblo SW",Open,8,20,0,"New course in the subject of anthropology."
10895,ANTH,2800,001,Lecture,"3","","","","Introduction to Archaeology","",Open,5,30,0,"Topics include alternative theories of prehistoric culture change, dating methods, excavation and survey techniques, and the reconstruction of the economy, social organization, and religion of prehistoric societies."
12264,ANTH,3240,001,Lecture,"3","","","","The Anthropology of Food","",Closed,17,20,0,"By exploring food and eating in relationship to such topics as taboo, sexuality, bodies, ritual, kinship, beauty, and temperance and excess, this course will help students to investigate the way the foods people eat--or don't eat--hold meaning for people within multiple cultural contexts."
12284,ANTH,3300,001,Lecture,"3","","","","Tournaments and Athletes","",Open,19,20,0,"A cross-cultural study of sport and competitive games. Prerequisite: ANTH 101 or instructor permission."
10739,ANTH,9999,001,Independent Study,"1 - 12","","","","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10893,ANTH,9999,002,Independent Study,"1 - 12","","","","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
